device,release_data,price_usd,price_brl
PlayStation 4, 2013, 299, 2.251
Nintendo Switch, 2017, 299, 1.999
Nintendo Switch Lite, 2019, 199, 1.249
Xbox Series X, 2020, 499, 4.445
Xbox Series S, 2020, 299, 1.998
PlayStation 5, 2020, 499, 4.139
PlayStation 5 Digital edition, 2020, 399, 3.958
Meta Quest 2, 2020, 299, 2.999
Nintendo Switch OLED, 2021, 349, 2.370
Steam Deck (64 GB), 2022, 399, 3.425
Meta Quest Pro, 2022, 999, ?
PlayStation VR2, 2023, 549, 4.655
Meta Quest 3, 2023, 499, ?
Apple Vision Pro, 2024, 3999, ?
